order_mode,cosine_similarity_mean,cosine_similarity_std,count,total_steps,valid_fraction,last_valid_step
curriculum_easy,0.25398801111016484,0.2853867018439092,4707,4710,0.9993630573248408,1570
curriculum_hard,0.2551352595974734,0.31146649253127506,4707,4710,0.9993630573248408,1570
fixed_random,0.1976779336417428,0.23077710619656747,4707,4710,0.9993630573248408,1570
random,0.19657180941004215,0.23300237580225844,4707,4710,0.9993630573248408,1570
